iter	Logloss
0	0.6547757572
1	0.6298266469
2	0.5971897972
3	0.5664739069
4	0.5427950788
5	0.5290173707
6	0.5152359292
7	0.4988031182
8	0.4920479366
9	0.4748944797
10	0.4609263237
11	0.4544618806
12	0.4399316875
13	0.4345496738
14	0.4274381287
15	0.4207690002
16	0.4136985378
17	0.4069442627
18	0.4027148218
19	0.3928416104
20	0.390559789
21	0.3802286664
22	0.3752487018
23	0.3667893518
24	0.3635514343
25	0.3607630128
26	0.3523855592
27	0.3492817151
28	0.3442937042
29	0.3424020908
30	0.3403820857
31	0.3378177967
32	0.3359776994
33	0.330001067
34	0.3285033991
35	0.323486356
36	0.3190092976
37	0.316085884
38	0.3140038074
39	0.310869865
40	0.3087743208
41	0.3074444337
42	0.3037168547
43	0.3006247083
44	0.2965000003
45	0.2950148464
46	0.2938556198
47	0.2923106975
48	0.2900346814
49	0.2865287228
50	0.2849917604
51	0.2840300181
52	0.2817142173
53	0.2784760115
54	0.2769772941
55	0.2762859007
56	0.2751200907
57	0.271271919
58	0.2706792427
59	0.2702981664
60	0.2695146234
61	0.2688552084
62	0.2680312318
63	0.2674819381
64	0.2668003614
65	0.2658985644
66	0.2654310718
67	0.2648937116
68	0.2629902216
69	0.2618737658
70	0.2613715143
71	0.2598480183
72	0.2576975634
73	0.2571532196
74	0.255832102
75	0.254791295
76	0.2536483094
77	0.2529255595
78	0.2515596711
79	0.2505336525
80	0.250297505
81	0.2489752663
82	0.24831051
83	0.2469013438
84	0.246489023
85	0.245075707
86	0.243146094
87	0.2422289348
88	0.2421830411
89	0.2413049176
90	0.2395285789
91	0.2375083346
92	0.2371263681
93	0.23653528
94	0.2358521591
95	0.2351038821
96	0.2338523458
97	0.2328434678
98	0.2321238146
99	0.2314315165
100	0.2301049983
101	0.2290668536
102	0.2266708947
103	0.225891255
104	0.2252893564
105	0.2229836317
106	0.2217355869
107	0.2212113569
108	0.2205595405
109	0.2196426591
110	0.2187286028
111	0.2177418233
112	0.2174025933
113	0.2159877332
114	0.2153366352
115	0.2149132475
116	0.2148483621
117	0.2140360454
118	0.2130455047
119	0.2121005638
120	0.2116926741
121	0.2113803469
122	0.210511862
123	0.210152629
124	0.209425006
125	0.2088567087
126	0.2081338671
127	0.2077110127
128	0.2062397934
129	0.2053869576
130	0.2045386407
131	0.2040253528
132	0.2036082879
133	0.2030059664
134	0.201938753
135	0.2016002925
136	0.2007543288
137	0.2001787484
138	0.1997348321
139	0.1993459736
140	0.1987318999
141	0.1973515425
142	0.197002334
143	0.1960001377
144	0.194807997
145	0.1942044576
146	0.1935902359
147	0.1924145815
148	0.1912147479
149	0.190025495
150	0.1893993939
151	0.1890360646
152	0.1886144305
153	0.187868595
154	0.1874618793
155	0.1866394976
156	0.1860591983
157	0.1854811106
158	0.1849992483
159	0.1845838823
160	0.1840851688
161	0.1832312082
162	0.1826744493
163	0.1821159213
164	0.1816212706
165	0.1814252446
166	0.1809616929
167	0.1806844316
168	0.1803274613
169	0.1799092124
170	0.1795986302
171	0.1787264132
172	0.1782943835
173	0.1780473635
174	0.1772198762
175	0.176438214
176	0.1758994154
177	0.1752805265
178	0.1745375773
179	0.1739789024
180	0.1735052232
181	0.1728977013
182	0.1716872117
183	0.1716053781
184	0.1707923737
185	0.1702265303
186	0.1697226548
187	0.168985238
188	0.1681901106
189	0.1676714904
190	0.1672489629
191	0.1667069627
192	0.166259836
193	0.1657586642
194	0.1651946605
195	0.1646771091
196	0.1641595619
197	0.1635712613
198	0.1628970316
199	0.1627280371
200	0.1620738158
201	0.1618073769
202	0.1608575993
203	0.1604072878
204	0.159863595
205	0.1596238807
206	0.1590948557
207	0.1588375914
208	0.1583762371
209	0.1575964419
210	0.1565902749
211	0.1560079651
212	0.1553341122
213	0.1546249688
214	0.1541869646
215	0.1535733543
216	0.1530337871
217	0.1528559575
218	0.1526777773
219	0.1524765975
220	0.1517669303
221	0.1513353037
222	0.1508209725
223	0.1502992963
224	0.1500444183
225	0.1497311096
226	0.1492153662
227	0.149057368
228	0.1487067953
229	0.148456103
230	0.147531732
231	0.1466238624
232	0.1461750838
233	0.1456484071
234	0.1452794379
235	0.1446269869
236	0.1441742474
237	0.1439861814
238	0.1430933134
239	0.1427544346
240	0.1423256807
241	0.1419203428
242	0.1412726512
243	0.1406343525
244	0.1403517945
245	0.1393319943
246	0.1388458448
247	0.1385027272
248	0.1375391768
249	0.1370607094
250	0.1366137566
251	0.1361769544
252	0.1359871132
253	0.1353006569
254	0.1349190974
255	0.1348107605
256	0.134642573
257	0.1338926792
258	0.1334219918
259	0.1330391184
260	0.1326461716
261	0.131975929
262	0.1313360719
263	0.1310249948
264	0.1309909259
265	0.1302186847
266	0.1298834178
267	0.1297051283
268	0.1291590873
269	0.1289722115
270	0.1287859465
271	0.1284831145
272	0.1281151358
273	0.1277709654
274	0.1275925381
275	0.1272992832
276	0.1271040784
277	0.1269263135
278	0.126723424
279	0.1262048881
280	0.1259189193
281	0.1258395096
282	0.1255104347
283	0.125145166
284	0.1246160466
285	0.1243080824
286	0.1239142765
287	0.1234058949
288	0.1229929627
289	0.1227426499
290	0.1224318761
291	0.1221380664
292	0.1219216975
293	0.1215031695
294	0.1212008537
295	0.1206930876
296	0.1204226285
297	0.1201712761
298	0.1199460475
299	0.1193501602
