DAIRA,COMMUNE,FORET,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME,LONGITUDE,LATITUDE
HAMMAM N'BAIL,OUED CHEHAM,EL MEGFEL,2010-07-23 00:00:00,1899-12-31 19:30:00,2010-07-23 00:00:00,1899-12-31 19:30:00,2010-07-23 00:00:00,1899-12-31 23:15:00,BRS,0,0,0.5,0.5,INC,BM,SF,50000,2010,7,23,2010,7,23,2010,7,23,19,19,23,31.28,7.77,N,,7.454,36.287
BOUCHEGOUF,MEDJEZ SFA,AIN TAHMAMINE,2010-07-25 00:00:00,1899-12-31 14:00:00,2010-07-25 00:00:00,1899-12-31 14:00:00,2010-07-25 00:00:00,1899-12-31 16:30:00,BRS,0,0,1,1,INC,BM,SF+PC,100000,2010,7,25,2010,7,25,2010,7,25,14,14,16,22.61,10.71,NO,,7.756,36.585
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,2010-07-28 00:00:00,1899-12-31 13:40:00,2010-07-28 00:00:00,1899-12-31 13:40:00,2010-07-28 00:00:00,1899-12-31 15:40:00,CYP+CL+MAQ,1.5,1,0,2.5,INC,PV,SF,800000,2010,7,28,2010,7,28,2010,7,28,13,13,15,24.1,6.26,N,,7.454,36.287
HAMMAM DEBAGH,HAMMAM DEBAGH,BOUROUISNE,2010-07-31 00:00:00,1899-12-31 10:45:00,2010-07-31 00:00:00,1899-12-31 10:45:00,2010-07-31 00:00:00,1899-12-31 14:45:00,MAQ,0,3,0,3,INC,PV,SF+PC,600000,2010,7,31,2010,7,31,2010,7,31,10,10,14,24.62,6.2,N+NE,,7.278,36.462
HELIOPOLIS,BOUATI MAHMOUD,AIN EL BAGRAT,2010-08-07 00:00:00,1899-12-31 12:55:00,2010-08-07 00:00:00,1899-12-31 12:55:00,2010-08-07 00:00:00,1899-12-31 15:00:00,MAQ,0,5,0,5,INC,PV,SF+PC+DW,1000000,2010,8,7,2010,8,7,2010,8,7,12,12,15,24.03,6.34,NE+N,,7.601,36.412
GUELAAT BOU SBAA,BENI MEZLINE,KEF AMAR,2010-08-08 00:00:00,1899-12-31 11:35:00,2010-08-08 00:00:00,1899-12-31 11:35:00,2010-08-08 00:00:00,1899-12-31 16:00:00,MAQ,0,0.25,0,0.25,INC,PV,SF+PC,50000,2010,8,8,2010,8,8,2010,8,8,11,11,16,24.28,5.61,N,,7.522,36.504
HAMMAM N'BAIL,DAHOUARA,OUED GHANEM,2010-08-10 00:00:00,1899-12-31 11:30:00,2010-08-10 00:00:00,1899-12-31 11:30:00,2010-08-10 00:00:00,1899-12-31 16:21:00,BRS,0,0,0.5,0.5,INC,PV,SF,50000,2010,8,10,2010,8,10,2010,8,10,11,11,16,27.72,7.33,N+S,,7.841,36.321
BOUCHEGOUF,BOUCHEGOUF,BENI SALAH,2010-08-10 00:00:00,1899-12-31 12:00:00,2010-08-10 00:00:00,1899-12-31 12:00:00,2010-08-10 00:00:00,1899-12-31 15:30:00,CL,1,0,0,1,INC,CT,SF,400000,2010,8,10,2010,8,10,2010,8,10,12,12,15,27.72,7.33,N+S,,7.728,36.468
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,2010-08-10 00:00:00,1899-12-31 13:54:00,2010-08-10 00:00:00,1899-12-31 13:54:00,2010-08-10 00:00:00,1899-12-31 19:40:00,BRS,0,0,2,2,INC,BM,SF,200000,2010,8,10,2010,8,10,2010,8,10,13,13,19,27.72,7.33,N+S,,7.122,36.334
GUELMA,BENDJERRAH,AIN BEN ASSOUL,2010-08-13 00:00:00,1899-12-31 10:00:00,2010-08-13 00:00:00,1899-12-31 10:00:00,2010-08-13 00:00:00,1899-12-31 12:25:00,MAQ,0,2,0,2,INC,PV,SF+PC,400000,2010,8,13,2010,8,13,2010,8,13,10,10,12,29.35,7.52,S,,7.284,36.531
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,2010-08-14 00:00:00,1899-12-31 10:00:00,2010-08-14 00:00:00,1899-12-31 10:00:00,2010-08-14 00:00:00,1899-12-31 11:00:00,CV,1,0,0,1,INC,BM,SF,400000,2010,8,14,2010,8,14,2010,8,14,10,10,11,26.82,7.79,N,,7.122,36.334
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,2010-08-14 00:00:00,1899-12-31 11:40:00,2010-08-14 00:00:00,1899-12-31 11:40:00,2010-08-14 00:00:00,1899-12-31 12:40:00,CV,0.25,0,0,0.25,INC,BM,SF,100000,2010,8,14,2010,8,14,2010,8,14,11,11,12,26.82,7.79,N,,7.122,36.334
GUELAAT BOU SBAA,NECHMAYA,OULED BOUAZIZ,2010-08-20 00:00:00,1899-12-31 13:20:00,2010-08-20 00:00:00,1899-12-31 13:20:00,2010-08-20 00:00:00,1899-12-31 17:00:00,REB+MAQ,14,6,0,20,INC,PV,SF,6800000,2010,8,20,2010,8,20,2010,8,20,13,13,17,29.68,7.28,S,,7.512,36.612
HAMMAM N'BAIL,OUED CHEHAM,GELALA,2010-08-20 00:00:00,1899-12-31 18:15:00,2010-08-20 00:00:00,1899-12-31 18:15:00,2010-08-21 00:00:00,1899-12-31 06:00:00,REB+MAQ,210,50,0,260,INC,BM,SF+PC,94000000,2010,8,20,2010,8,20,2010,8,21,18,18,6,29.68,7.28,S,,7.454,36.287
HAMMAM N'BAIL,HAMMAM N'BAILS,EL GUERINE,2010-08-23 00:00:00,1899-12-31 14:40:00,2010-08-23 00:00:00,1899-12-31 14:40:00,2010-08-23 00:00:00,1899-12-31 18:20:00,MAQ,0,2,0,2,INC,PV,SF+PC,400000,2010,8,23,2010,8,23,2010,8,23,14,14,18,26.45,4.96,S,,7.122,36.334
HAMMAM DEBAGH,ROKNIA,DJ DEBAGH,2010-08-27 00:00:00,1899-12-31 19:55:00,2010-08-27 00:00:00,1899-12-31 19:55:00,2010-08-28 00:00:00,1899-12-31 06:18:00,MAQ,0,1,0,1,INC,BM,SF,200000,2010,8,27,2010,8,27,2010,8,28,19,19,6,27.56,4.91,S,,7.356,36.536
HELIOPOLIS,HELIOPOLIS,OUED MENDJEL,2010-08-28 00:00:00,1899-12-31 12:30:00,2010-08-28 00:00:00,1899-12-31 12:30:00,2010-08-28 00:00:00,1899-12-31 15:50:00,MAQ,0,10,0,10,INC,PV,SF,2000000,2010,8,28,2010,8,28,2010,8,28,12,12,15,27.19,7.71,S+N,,7.442,36.503
BOUCHEGOUF,BOUCHEGOUF,BOUKERCHE,2010-08-28 00:00:00,1899-12-31 12:55:00,2010-08-28 00:00:00,1899-12-31 12:55:00,2010-08-28 00:00:00,1899-12-31 14:40:00,MAQ,0,2.5,0,2.5,INC,BM,SF,500000,2010,8,28,2010,8,28,2010,8,28,12,12,14,27.19,7.71,S+N,,7.728,36.468
HAMMAM N'BAIL,HAMMAM N'BAILS,BOUAICHOUNE,2010-09-07 00:00:00,1899-12-31 11:15:00,2010-09-07 00:00:00,1899-12-31 11:15:00,2010-09-07 00:00:00,1899-12-31 13:30:00,MAQ,0,1,0,1,INC,PV,SF,200000,2010,9,7,2010,9,7,2010,9,7,11,11,13,26.28,8.31,S+N,,7.122,36.334
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,2010-09-11 00:00:00,1899-12-31 16:03:00,2010-09-11 00:00:00,1899-12-31 16:03:00,2010-09-11 00:00:00,1899-12-31 17:00:00,BRS,0,0,0.25,0.25,INC,PV,SF,25000,2010,9,11,2010,9,11,2010,9,11,16,16,17,20.06,7.27,NO+O,,7.454,36.287
HAMMAM DEBAGH,BOUHAMDANE,AIN EL LOUZA,2010-09-16 00:00:00,1899-12-31 17:10:00,2010-09-16 00:00:00,1899-12-31 17:10:00,2010-09-16 00:00:00,1899-12-31 18:40:00,BRS,0,0,0.25,0.25,INC,PV,SF+DW,25000,2010,9,16,2010,9,16,2010,9,16,17,17,18,22.45,5.52,S,,7.311,36.362
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,2010-09-17 00:00:00,1899-12-31 12:30:00,2010-09-17 00:00:00,1899-12-31 12:30:00,2010-09-17 00:00:00,1899-12-31 17:00:00,BRS,0,0,3.5,3.5,INC,CT,SF+PC+DW,350000,2010,9,17,2010,9,17,2010,9,17,12,12,17,25.1,7.75,S,,7.512,36.612
HAMMAM DEBAGH,ROKNIA,MECHTAT EL KEF,2010-09-17 00:00:00,1899-12-31 12:55:00,2010-09-17 00:00:00,1899-12-31 12:55:00,2010-09-17 00:00:00,1899-12-31 19:25:00,MAQ,0,8,0,8,INC,BM,SF+PC,1600000,2010,9,17,2010,9,17,2010,9,17,12,12,19,25.1,7.75,S,,7.356,36.536
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,2010-09-17 00:00:00,1899-12-31 12:50:00,2010-09-17 00:00:00,1899-12-31 12:50:00,2010-09-17 00:00:00,1899-12-31 16:30:00,BRS,0,0,1.5,1.5,INC,PV,SF,150000,2010,9,17,2010,9,17,2010,9,17,12,12,16,25.1,7.75,S,,7.512,36.612
HAMMAM N'BAIL,OUED CHEHAM,MENZEL BOUGUETAYA,2010-09-17 00:00:00,1899-12-31 16:10:00,2010-09-17 00:00:00,1899-12-31 16:10:00,2010-09-17 00:00:00,1899-12-31 17:45:00,BRS,0,0,0.5,0.5,INC,BM,SF,50000,2010,9,17,2010,9,17,2010,9,17,16,16,17,25.1,7.75,S,,7.454,36.287
HAMMAM N'BAIL,OUED CHEHAM,GELALA,2010-09-17 00:00:00,1899-12-31 19:45:00,2010-09-17 00:00:00,1899-12-31 19:45:00,2010-09-17 00:00:00,1899-12-31 23:25:00,MAQ,0,2.5,0,2.5,INC,BM,SF+PC+DW,500000,2010,9,17,2010,9,17,2010,9,17,19,19,23,25.1,7.75,S,,7.454,36.287
KHEZARA,KHEZARAS,EL MERTAH,2010-09-17 00:00:00,1899-12-31 20:51:00,2010-09-17 00:00:00,1899-12-31 20:51:00,2010-09-17 00:00:00,1899-12-31 22:25:00,BRS,0,0,1,1,INC,PV,SF+PC+DW,100000,2010,9,17,2010,9,17,2010,9,17,20,20,22,25.1,7.75,S,,7.019,36.286
BOUCHEGOUF,MEDJEZ SFA,EL BATHA,2010-09-18 00:00:00,1899-12-31 11:35:00,2010-09-18 00:00:00,1899-12-31 11:35:00,2010-09-18 00:00:00,1899-12-31 17:50:00,CL+MAQ,3,3,0,6,INC,BM,SF+PC,1800000,2010,9,18,2010,9,18,2010,9,18,11,11,17,25.96,8.45,S+N,,7.756,36.585
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,2010-09-18 00:00:00,1899-12-31 14:10:00,2010-09-18 00:00:00,1899-12-31 14:10:00,2010-09-18 00:00:00,1899-12-31 20:45:00,CL+MAQ,4,3,0,7,INC,PV,SF+PC,2200000,2010,9,18,2010,9,18,2010,9,18,14,14,20,25.96,8.45,S+N,,7.756,36.585
OUED ZENATI,AIN REGADA,KSAR EL AZEB,2010-09-18 00:00:00,1899-12-31 17:55:00,2010-09-18 00:00:00,1899-12-31 17:55:00,2010-09-18 00:00:00,1899-12-31 21:00:00,REB,85,0,0,85,INC,BM,SF+PC+DW,34000000,2010,9,18,2010,9,18,2010,9,18,17,17,21,25.96,8.45,S+N,,7.106,36.256
GUELAAT BOU SBAA,DJEBALLAH KHEMISSI,HOUARA,2010-09-18 00:00:00,1899-12-31 14:55:00,2010-09-18 00:00:00,1899-12-31 14:55:00,2010-09-18 00:00:00,1899-12-31 18:00:00,MAQ,0,1.5,0,1.5,INC,PV,SF+DW,300000,2010,9,18,2010,9,18,2010,9,18,14,14,18,25.96,8.45,S+N,,7.118,36.481
GUELAAT BOU SBAA,NECHMAYA,KEF GHERAB,2010-10-03 00:00:00,1899-12-31 14:15:00,2010-10-03 00:00:00,1899-12-31 14:15:00,2010-10-03 00:00:00,1899-12-31 16:30:00,MAQ,0,1,0,1,INC,BM,SF+PC,200000,2010,10,3,2010,10,3,2010,10,3,14,14,16,24.08,8.76,S,,7.512,36.612
KHEZARA,BOUHACHANA,DJ BARDOU,2010-10-03 00:00:00,1899-12-31 19:00:00,2010-10-03 00:00:00,1899-12-31 19:00:00,2010-10-03 00:00:00,1899-12-31 21:20:00,REB,0.5,0,0,0.5,INC,OCCAS,SF+CIT+DW,200000,2010,10,3,2010,10,3,2010,10,3,19,19,21,24.08,8.76,S,,7.512,36.367
KHEZARA,AIN SANDEL,GAA EL KEF,2010-10-04 00:00:00,1899-12-31 12:20:00,2010-10-04 00:00:00,1899-12-31 12:20:00,2010-10-04 00:00:00,1899-12-31 13:30:00,MAQ,0,2,0,2,INC,PV,SF+DW,400000,2010,10,4,2010,10,4,2010,10,4,12,12,13,25.23,8.76,S,,7.145,36.345
KHEZARA,BOUHACHANA,DJ BARDOU,2010-10-04 00:00:00,1899-12-31 21:45:00,2010-10-04 00:00:00,1899-12-31 21:45:00,2010-10-04 00:00:00,1899-12-31 23:00:00,REB,1,0,0,1,INC,GARDIEN,SF,400000,2010,10,4,2010,10,4,2010,10,4,21,21,23,25.23,8.76,S,,7.512,36.367
HAMMAM DEBAGH,ROKNIA,DJ DEBAGH,2010-10-04 00:00:00,1899-12-31 22:00:00,2010-10-04 00:00:00,1899-12-31 22:00:00,2010-10-04 00:00:00,1899-12-31 23:35:00,MAQ,0,0.05,0,0.05,INC,PV,SF+PC,10000,2010,10,4,2010,10,4,2010,10,4,22,22,23,25.23,8.76,S,,7.356,36.536
OUED ZENATI,BORDJ SABAT,MOUBIA,2010-10-06 00:00:00,1899-12-31 12:00:00,2010-10-06 00:00:00,1899-12-31 12:00:00,2010-10-06 00:00:00,1899-12-31 16:30:00,CL+MAQ,10,15,0,25,INC,BM,SF,7000000,2010,10,6,2010,10,6,2010,10,6,12,12,16,25.11,5.22,S,,7.318,36.329
HAMMAM DEBAGH,BOUHAMDANE,TAYA BENI AHMED,2010-10-07 00:00:00,1899-12-31 13:00:00,2010-10-07 00:00:00,1899-12-31 13:00:00,2010-10-07 00:00:00,1899-12-31 21:45:00,CL,5,0,0,5,INC,BM,SF+PC,2000000,2010,10,7,2010,10,7,2010,10,7,13,13,21,25.97,6.16,S,,7.311,36.362
HAMMAM DEBAGH,BOUHAMDANE,BENI AMRANE,2010-10-08 00:00:00,1899-12-31 13:26:00,2010-10-08 00:00:00,1899-12-31 13:26:00,2010-10-08 00:00:00,1899-12-31 15:00:00,CL,0.1,0,0,0.1,INC,BM,SF,40000,2010,10,8,2010,10,8,2010,10,8,13,13,15,24.43,6.57,S,,7.311,36.362
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,2010-10-08 00:00:00,1899-12-31 12:30:00,2010-10-08 00:00:00,1899-12-31 12:30:00,2010-10-08 00:00:00,1899-12-31 13:58:00,CL,3,0,0,3,INC,PV,SF+PC,1200000,2010,10,8,2010,10,8,2010,10,8,12,12,13,24.43,6.57,S,,7.122,36.334
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,2010-10-08 00:00:00,1899-12-31 11:00:00,2010-10-08 00:00:00,1899-12-31 11:00:00,2010-10-08 00:00:00,1899-12-31 11:40:00,BRS,0,0,1,1,INC,PV,SF+PC,100000,2010,10,8,2010,10,8,2010,10,8,11,11,11,24.43,6.57,S,,7.122,36.334
HELIOPOLIS,HELIOPOLIS,DJ BEZZIOUNE,2011-07-27 00:00:00,1899-12-31 13:20:00,2011-07-27 00:00:00,1899-12-31 13:30:00,2011-07-27 00:00:00,1899-12-31 14:45:00,EUC+REB,0.5,0,0,0.5,INC,BM,SF,200000,2011,7,27,2011,7,27,2011,7,27,13,13,14,39.3,16.8,S+E,,7.442,36.503
KHEZARA,BOUHACHANA,KEF MAKHDOUM,2011-08-07 00:00:00,1899-12-31 14:24:00,2011-08-07 00:00:00,1899-12-31 14:40:00,2011-08-08 00:00:00,1899-12-31 05:00:00,PA,1,0,0,1,INC,BM,SF+PC+DW+EAPC+POP,400000,2011,8,7,2011,8,7,2011,8,8,14,14,5,40.5,9.8,S+E,,7.512,36.367
AIN MAKHLOUF,AIN MAKHLOUF,DJ ONCEL,2011-08-13 00:00:00,1899-12-31 12:00:00,2011-08-13 00:00:00,1899-12-31 12:15:00,2011-08-14 00:00:00,1899-12-31 02:00:00,PA+EUC+REB,21.5,0,0,21.5,INC,BM,SF+PC+DW+EAPC+POP,8600000,2011,8,13,2011,8,13,2011,8,14,12,12,2,37.7,5.7,S+E,,7.257,36.462
HAMMAM DEBAGH,HAMMAM DEBAGH,BOUGHRESINE,2011-08-16 00:00:00,1899-12-31 12:25:00,2011-08-16 00:00:00,1899-12-31 12:40:00,2011-08-16 00:00:00,1899-12-31 14:45:00,MAQ,0,0.05,0,0.05,INC,PV,SF,1000,2011,8,16,2011,8,16,2011,8,16,12,12,14,36.9,8.4,S+E,,7.278,36.462
HAMMAM N'BAIL,OUED CHEHAM,FAUVEL,2011-08-16 00:00:00,1899-12-31 11:30:00,2011-08-16 00:00:00,1899-12-31 11:45:00,2011-08-16 00:00:00,1899-12-31 13:45:00,BRS,0,0,1,1,INC,BM,SF,10000,2011,8,16,2011,8,16,2011,8,16,11,11,13,36.9,8.4,S+E,,7.454,36.287
HAMMAM N'BAIL,OUED CHEHAM,OUED CHEHAM,2011-08-18 00:00:00,1899-12-31 12:15:00,2011-08-18 00:00:00,1899-12-31 12:30:00,2011-08-18 00:00:00,1899-12-31 18:30:00,CL,2.3,0,0,2.3,INC,BM,SF+PC,920000,2011,8,18,2011,8,18,2011,8,18,12,12,18,40.5,13.8,S+E,,7.454,36.287
BOUCHEGOUF,OUED FRAGHA,OUED FRAGHA,2011-08-19 00:00:00,1899-12-31 10:45:00,2011-08-19 00:00:00,1899-12-31 11:00:00,2011-08-19 00:00:00,1899-12-31 11:30:00,BRS,0,0,0.5,0.5,INC,BM,SF,5000,2011,8,19,2011,8,19,2011,8,19,10,11,11,41.2,11.2,S+E,,7.801,36.548
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,2011-08-20 00:00:00,1899-12-31 10:00:00,2011-08-20 00:00:00,1899-12-31 10:25:00,2011-08-20 00:00:00,1899-12-31 14:20:00,BRS,0,0,2.5,2.5,INC,BM,SF+PC+POP,25000,2011,8,20,2011,8,20,2011,8,20,10,10,14,39,11.2,S+E,,7.311,36.362
HAMMAM N'BAIL,OUED CHEHAM,FAUVEL,2011-08-23 00:00:00,1899-12-31 11:15:00,2011-08-23 00:00:00,1899-12-31 11:30:00,2011-08-23 00:00:00,1899-12-31 15:00:00,BRS,0,0,1,1,INC,BM,SF,10000,2011,8,23,2011,8,23,2011,8,23,11,11,15,37.5,7.1,S+E,,7.454,36.287
OUED ZENATI,BORDJ SABAT,KEF HADJAR,2011-08-31 00:00:00,1899-12-31 13:40:00,2011-08-31 00:00:00,1899-12-31 14:20:00,2011-08-31 00:00:00,1899-12-31 17:30:00,BRS,0,0,15,15,INC,BM,SF+PC+POP,150000,2011,8,31,2011,8,31,2011,8,31,13,14,17,40.1,11.2,S+E,,7.318,36.329
HELIOPOLIS,HELIOPOLIS,OUED MENDJEL,2011-08-31 00:00:00,1899-12-31 13:00:00,2011-08-31 00:00:00,1899-12-31 13:20:00,2011-08-31 00:00:00,1899-12-31 14:10:00,BRS,0,0,0.5,0.5,INC,BM,SF,5000,2011,8,31,2011,8,31,2011,8,31,13,13,14,40.1,11.2,S+E,,7.442,36.503
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,2011-08-31 00:00:00,1899-12-31 22:45:00,2011-08-31 00:00:00,1899-12-31 23:00:00,2011-08-31 00:00:00,1899-12-31 23:30:00,MAQ,0,0.25,0,0.25,INC,GARDIEN,SF,5000,2011,8,31,2011,8,31,2011,8,31,22,23,23,40.1,11.2,S+E,,7.512,36.612
HELIOPOLIS,EL FEDJOUDJ,OUED TOUTA,2011-09-01 00:00:00,1899-12-31 10:55:00,2011-09-01 00:00:00,1899-12-31 11:15:00,2011-09-01 00:00:00,1899-12-31 15:00:00,MAQ,0,5,0,5,INC,PV,SF+PC+EMPS,100000,2011,9,1,2011,9,1,2011,9,1,10,11,15,40,22.2,S+E,,7.394,36.561
GUELAAT BOU SBAA,NECHMAYA,HADJAR EL MENCHAR,2011-09-01 00:00:00,1899-12-31 12:05:00,2011-09-01 00:00:00,1899-12-31 12:20:00,2011-09-01 00:00:00,1899-12-31 18:30:00,REB+MAQ,25,15,0,40,INC,BM,SF+PC+EMPS,10300000,2011,9,1,2011,9,1,2011,9,1,12,12,18,40,22.2,S+E,,7.512,36.612
HELIOPOLIS,BOUATI MAHMOUD,SIDI ALI EL AARIAN,2011-09-01 00:00:00,1899-12-31 12:20:00,2011-09-01 00:00:00,1899-12-31 12:40:00,2011-09-01 00:00:00,1899-12-31 18:00:00,CL,13,0,0,13,INC,BM,SF+PC+EMPS,5200000,2011,9,1,2011,9,1,2011,9,1,12,12,18,40,22.2,S+E,,7.601,36.412
BOUCHEGOUF,MEDJEZ SFA,BENI SALAH,2011-09-01 00:00:00,1899-12-31 14:30:00,2011-09-01 00:00:00,1899-12-31 14:45:00,2011-09-01 00:00:00,1899-12-31 18:30:00,CL,5,0,0,5,INC,BM,SF+EMPS,2000000,2011,9,1,2011,9,1,2011,9,1,14,14,18,40,22.2,S+E,,7.756,36.585
HAMMAM DEBAGH,ROKNIA,EL BRAIMA,2011-09-01 00:00:00,1899-12-31 14:35:00,2011-09-01 00:00:00,1899-12-31 14:50:00,2011-09-01 00:00:00,1899-12-31 17:00:00,CL+BRS,2,0,7,9,INC,BM,SF+EMPS,2820000,2011,9,1,2011,9,1,2011,9,1,14,14,17,40,22.2,S+E,,7.356,36.536
BOUCHEGOUF,MEDJEZ SFA,CHAABET RAMOUL,2011-09-02 00:00:00,1899-12-31 11:10:00,2011-09-02 00:00:00,1899-12-31 11:25:00,2011-09-02 00:00:00,1899-12-31 15:55:00,CL,1,0,0,1,INC,BM,SF+EMPS,400000,2011,9,2,2011,9,2,2011,9,2,11,11,15,42.7,8.4,S+E,,7.756,36.585
OUED ZENATI,BORDJ SABAT,MOUBIA,2011-09-08 00:00:00,1899-12-31 12:10:00,2011-09-08 00:00:00,1899-12-31 12:25:00,2011-09-08 00:00:00,1899-12-31 15:00:00,MAQ,0,1.5,0,1.5,INC,PV,SF+PC+DW+EAPC,30000,2011,9,8,2011,9,8,2011,9,8,12,12,15,32.8,7.1,S+E,,7.318,36.329
BOUCHEGOUF,MEDJEZ SFA,EL BATHA,2011-09-10 00:00:00,1899-12-31 13:10:00,2011-09-10 00:00:00,1899-12-31 13:25:00,2011-09-11 00:00:00,1899-12-31 08:08:00,MAQ,0,15,0,15,INC,BM,SF+PC,300000,2011,9,10,2011,9,10,2011,9,11,13,13,8,38.4,7.1,S+E,,7.756,36.585
