DAIRA,COMMUNE,FORET,LONGITUDE,LATITUDE,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME
HELIOPOLIS,HELIOPOLIS,OUED MENDJEL,,,2011-08-31 00:00:00,1899-12-31 13:00:00,2011-08-31 00:00:00,1899-12-31 13:20:00,2011-08-31 00:00:00,1899-12-31 14:10:00,BRS,0,0,0.5,0.5,INC,BM,SF,5000,2011,8,31,2011,8,31,2011,8,31,13,13,14,40.1,11.2,S+E,
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,,,2011-08-31 00:00:00,1899-12-31 22:45:00,2011-08-31 00:00:00,1899-12-31 23:00:00,2011-08-31 00:00:00,1899-12-31 23:30:00,MAQ,0,0.25,0,0.25,INC,GARDIEN,SF,5000,2011,8,31,2011,8,31,2011,8,31,22,23,23,40.1,11.2,S+E,
HELIOPOLIS,EL FEDJOUDJ,OUED TOUTA,,,2011-09-01 00:00:00,1899-12-31 10:55:00,2011-09-01 00:00:00,1899-12-31 11:15:00,2011-09-01 00:00:00,1899-12-31 15:00:00,MAQ,0,5,0,5,INC,PV,SF+PC+EMPS,100000,2011,9,1,2011,9,1,2011,9,1,10,11,15,40,22.2,S+E,
GUELAAT BOU SBAA,NECHMAYA,HADJAR EL MENCHAR,,,2011-09-01 00:00:00,1899-12-31 12:05:00,2011-09-01 00:00:00,1899-12-31 12:20:00,2011-09-01 00:00:00,1899-12-31 18:30:00,REB+MAQ,25,15,0,40,INC,BM,SF+PC+EMPS,10300000,2011,9,1,2011,9,1,2011,9,1,12,12,18,40,22.2,S+E,
HELIOPOLIS,BOUATI MAHMOUD,SIDI ALI EL AARIAN,,,2011-09-01 00:00:00,1899-12-31 12:20:00,2011-09-01 00:00:00,1899-12-31 12:40:00,2011-09-01 00:00:00,1899-12-31 18:00:00,CL,13,0,0,13,INC,BM,SF+PC+EMPS,5200000,2011,9,1,2011,9,1,2011,9,1,12,12,18,40,22.2,S+E,
BOUCHEGOUF,MEDJEZ SFA,BENI SALAH,,,2011-09-01 00:00:00,1899-12-31 14:30:00,2011-09-01 00:00:00,1899-12-31 14:45:00,2011-09-01 00:00:00,1899-12-31 18:30:00,CL,5,0,0,5,INC,BM,SF+EMPS,2000000,2011,9,1,2011,9,1,2011,9,1,14,14,18,40,22.2,S+E,
HAMMAM DEBAGH,ROKNIA,EL BRAIMA,,,2011-09-01 00:00:00,1899-12-31 14:35:00,2011-09-01 00:00:00,1899-12-31 14:50:00,2011-09-01 00:00:00,1899-12-31 17:00:00,CL+BRS,2,0,7,9,INC,BM,SF+EMPS,2820000,2011,9,1,2011,9,1,2011,9,1,14,14,17,40,22.2,S+E,
BOUCHEGOUF,MEDJEZ SFA,CHAABET RAMOUL,,,2011-09-02 00:00:00,1899-12-31 11:10:00,2011-09-02 00:00:00,1899-12-31 11:25:00,2011-09-02 00:00:00,1899-12-31 15:55:00,CL,1,0,0,1,INC,BM,SF+EMPS,400000,2011,9,2,2011,9,2,2011,9,2,11,11,15,42.7,8.4,S+E,
OUED ZENATI,BORDJ SABAT,MOUBIA,,,2011-09-08 00:00:00,1899-12-31 12:10:00,2011-09-08 00:00:00,1899-12-31 12:25:00,2011-09-08 00:00:00,1899-12-31 15:00:00,MAQ,0,1.5,0,1.5,INC,PV,SF+PC+DW+EAPC,30000,2011,9,8,2011,9,8,2011,9,8,12,12,15,32.8,7.1,S+E,
BOUCHEGOUF,MEDJEZ SFA,EL BATHA,,,2011-09-10 00:00:00,1899-12-31 13:10:00,2011-09-10 00:00:00,1899-12-31 13:25:00,2011-09-11 00:00:00,1899-12-31 08:08:00,MAQ,0,15,0,15,INC,BM,SF+PC,300000,2011,9,10,2011,9,10,2011,9,11,13,13,8,38.4,7.1,S+E,
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,,,2011-09-11 00:00:00,1899-12-31 11:40:00,2011-09-11 00:00:00,1899-12-31 11:55:00,2011-09-11 00:00:00,1899-12-31 14:30:00,MAQ,0,1.5,0,1.5,INC,BM,SF,30000,2011,9,11,2011,9,11,2011,9,11,11,11,14,36.5,13.8,S+E,
BOUCHEGOUF,MEDJEZ SFA,EL MAZA SEGHIRA,,,2011-09-13 00:00:00,1899-12-31 13:09:00,2011-09-13 00:00:00,1899-12-31 13:34:00,2011-09-13 00:00:00,1899-12-31 16:55:00,MAQ,0,0.5,0,0.5,INC,BM,SF+EMPS,10000,2011,9,13,2011,9,13,2011,9,13,13,13,16,33.4,5.7,S+E,
BOUCHEGOUF,MEDJEZ SFA,EL MAZA SEGHIRA,,,2011-09-15 00:00:00,1899-12-31 10:30:00,2011-09-15 00:00:00,1899-12-31 10:45:00,2011-09-15 00:00:00,1899-12-31 17:30:00,MAQ,0,2,0,2,INC,BM,SF+EMPS,40000,2011,9,15,2011,9,15,2011,9,15,10,10,17,34.2,13.8,S+E,
OUED ZENATI,BORDJ SABAT,MOUBIA,,,2011-09-15 00:00:00,1899-12-31 12:15:00,2011-09-15 00:00:00,1899-12-31 13:00:00,2011-09-15 00:00:00,1899-12-31 13:30:00,MAQ,0,0.5,0,0.5,INC,PV,SF+PC+DW,10000,2011,9,15,2011,9,15,2011,9,15,12,13,13,34.2,13.8,S+E,
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,,,2011-10-07 00:00:00,1899-12-31 14:05:00,2011-10-07 00:00:00,1899-12-31 14:10:00,2011-10-07 00:00:00,1899-12-31 16:45:00,EUC+REB,13,0,0,13,INC,PV,SF+PC,5200000,2011,10,7,2011,10,7,2011,10,7,14,14,16,29.3,8.4,S+E,
BOUCHEGOUF,BOUCHEGOUF,ZAAFRANIA,7.74865,36.5328916666667,2012-06-30 00:00:00,1899-12-31 14:00:00,2012-06-30 00:00:00,1899-12-31 15:20:00,2012-06-30 00:00:00,1899-12-31 19:22:00,BRS,0,0,13.32,13.32,INC,BM,SF+PC+POP,133200,2012,6,30,2012,6,30,2012,6,30,14,15,19,40.5,3,S+SE,
BOUCHEGOUF,OUED FRAGHA,KEF LESOUAD,7.7102,36.5362444444444,2012-07-01 00:00:00,1899-12-31 12:10:00,2012-07-01 00:00:00,1899-12-31 12:20:00,2012-07-01 00:00:00,1899-12-31 13:30:00,MAQ,0,1.5,0,1.5,INC,BM,SF+PC,30000,2012,7,1,2012,7,1,2012,7,1,12,12,13,40,14,S+SE,
HELIOPOLIS,BOUATI MAHMOUD,MENCHAR,7.33822222222222,36.5925944444444,2012-07-14 00:00:00,1899-12-31 11:45:00,2012-07-14 00:00:00,1899-12-31 12:30:00,2012-07-14 00:00:00,1899-12-31 19:00:00,MAQ,0,25,0,25,INC,PV,SF+PC+EMPS,500000,2012,7,14,2012,7,14,2012,7,14,11,12,19,46,21,S+SE,
BOUCHEGOUF,BOUCHEGOUF,RAS EL OUED,7.91344722222222,36.5241444444445,2012-07-14 00:00:00,1899-12-31 13:42:00,2012-07-14 00:00:00,1899-12-31 13:58:00,2012-07-17 00:00:00,1899-12-31 10:00:00,CL+CZ,340,0,0,340,INC,PV,SF+PC+DW+EAPC,136000000,2012,7,14,2012,7,14,2012,7,17,13,13,10,46,25,S+SE,
AIN HESSAINIA,MEDJEZ AMAR,GELALA,7.29078888888889,36.4630555555556,2012-07-24 00:00:00,1899-12-31 15:05:00,2012-07-24 00:00:00,1899-12-31 15:25:00,2012-07-24 00:00:00,1899-12-31 17:40:00,MAQ,0,0.5,0,0.5,INC,PV,SF+PC+EMPS,10000,2012,7,24,2012,7,24,2012,7,24,15,15,17,43,20,S+SE,
BOUCHEGOUF,MEDJEZ SFA,CHAABET RAMOUL,7.92043888888889,36.4606527777778,2012-07-27 00:00:00,1899-12-31 12:05:00,2012-07-27 00:00:00,1899-12-31 12:30:00,2012-07-28 00:00:00,1899-12-31 05:30:00,CL,160,0,0,160,INC,BM,SF+PC+DW+EAPC,64000000,2012,7,27,2012,7,27,2012,7,28,12,12,5,42,22,S+SE,
HAMMAM N'BAIL,OUED CHEHAM,FROUJA,7.79729722222222,36.3972972222222,2012-07-27 00:00:00,1899-12-31 14:50:00,2012-07-27 00:00:00,1899-12-31 15:10:00,2012-07-27 00:00:00,1899-12-31 18:00:00,MAQ,0,3,0,3,INC,BM,SF+PC,60000,2012,7,27,2012,7,27,2012,7,27,14,15,18,42,15,S+SE,
HAMMAM N'BAIL,HAMMAM N'BAILS,CHt TAFRANT,382,4024,2012-08-02 00:00:00,1899-12-31 14:00:00,2012-08-02 00:00:00,1899-12-31 14:30:00,2012-08-02 00:00:00,1899-12-31 17:30:00,BRS,0,0,1,1,INC,BM,SF+PC,10000,2012,8,2,2012,8,2,2012,8,2,14,14,17,43.6,12.4,S+SE,Souk Ahras NJ-32-II-6 OUEST
OUED ZENATI,BORDJ SABAT,HOUZ MOUBIA,316.25,4036,2012-08-03 00:00:00,1899-12-31 16:00:00,2012-08-03 00:00:00,1899-12-31 16:15:00,2012-08-03 00:00:00,1899-12-31 19:45:00,MAQ,0,5,0,5,INC,BM,SF+PC,100000,2012,8,3,2012,8,3,2012,8,3,16,16,19,43,12.4,S+SE,Constantine NJ-32-16 EST
AIN HESSAINIA,HOUARI BOUMEDIENNE,DJ BOUGRÉNISSA,359.7,905.7,2012-08-03 00:00:00,1899-12-31 14:00:00,2012-08-03 00:00:00,1899-12-31 14:30:00,2012-08-03 00:00:00,1899-12-31 18:30:00,MAQ,0,7,0,7,INC,BM,SF+PC,140000,2012,8,3,2012,8,3,2012,8,3,14,14,18,43,12.4,S+SE,Hammam Meskhoutine N° 53
AIN MAKHLOUF,AIN LARBI,KEF FERNANE,350.2,4017.8,2012-08-03 00:00:00,1899-12-31 17:10:00,2012-08-03 00:00:00,1899-12-31 18:30:00,2012-08-04 00:00:00,1899-12-31 00:05:00,MAQ,0,7,0,7,INC,BM,SF+PC,140000,2012,8,3,2012,8,3,2012,8,4,17,18,0,43,12.4,S+SE,Guelma NJ-32-5 EST
OUED ZENATI,BORDJ SABAT,HOUZ MOUBIA,316,4032.6,2012-08-05 00:00:00,1899-12-31 10:40:00,2012-08-05 00:00:00,1899-12-31 10:55:00,2012-08-06 00:00:00,1899-12-31 13:00:00,CL+MAQ,150,150,0,300,INC,BM,SF+PC+DW+VOL,63000000,2012,8,5,2012,8,5,2012,8,6,10,10,13,46,15.5,S+SE,Constantine NJ-32-16 EST
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,402,4034,2012-08-05 00:00:00,1899-12-31 13:30:00,2012-08-05 00:00:00,1899-12-31 16:00:00,2012-08-06 00:00:00,1899-12-31 06:30:00,CL,240,0,0,240,INC,BM,SF+PC+EAPC+VOL,96000000,2012,8,5,2012,8,5,2012,8,6,13,16,6,46,23,S+SE,Souk Ahras NJ-32-II-6 OUEST
GUELAAT BOU SBAA,NECHMAYA,KEF LAHCANE,361.5,4051.4,2012-08-05 00:00:00,1899-12-31 14:15:00,2012-08-05 00:00:00,1899-12-31 14:25:00,2012-08-05 00:00:00,1899-12-31 17:00:00,MAQ,0,3,0,3,INC,BM,SF+EMPS,60000,2012,8,5,2012,8,5,2012,8,5,14,14,17,46,15.5,S+SE,Azzaba NJ-32-II-3 EST
BOUCHEGOUF,MEDJEZ SFA,GHAR BOUZID,397,4030,2012-08-05 00:00:00,1899-12-31 14:47:00,2012-08-05 00:00:00,1899-12-31 15:30:00,2012-08-06 00:00:00,1899-12-31 18:30:00,MAQ,0,2,0,2,INC,BM,SF+PC,40000,2012,8,5,2012,8,5,2012,8,6,14,15,18,46,23,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,368.4,908.5,2012-08-05 00:00:00,1899-12-31 16:15:00,2012-08-05 00:00:00,1899-12-31 16:45:00,2012-08-05 00:00:00,1899-12-31 21:30:00,CL,8,0,0,8,INC,BM,SF+EMPS,3200000,2012,8,5,2012,8,5,2012,8,5,16,16,21,46,18,S+SE,Hammam Meskhoutine N° 53
HAMMAM N'BAIL,DAHOUARA,SFt OULED CHEIKH,383,4020,2012-08-06 00:00:00,1899-12-31 20:45:00,2012-08-06 00:00:00,1899-12-31 21:30:00,2012-08-06 00:00:00,1899-12-31 22:50:00,PA,10,0,0,10,INC,PAPC,SF+PC,4000000,2012,8,6,2012,8,6,2012,8,6,20,21,22,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
KHEZARA,AIN SANDEL,DJ FOURAR,371.9,4016.5,2012-08-07 00:00:00,1899-12-31 20:35:00,2012-08-07 00:00:00,1899-12-31 21:00:00,2012-08-08 00:00:00,1899-12-31 14:45:00,MAQ,0,6,0,6,INC,DW,SF+PC,120000,2012,8,7,2012,8,7,2012,8,8,20,21,14,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST
KHEZARA,AIN SANDEL,DJ BOUAICHOUNE,375,4015.5,2012-08-07 00:00:00,1899-12-31 20:35:00,2012-08-07 00:00:00,1899-12-31 21:15:00,2012-08-08 00:00:00,1899-12-31 11:45:00,MAQ,0,9,0,9,INC,DW,SF+EMPS,180000,2012,8,7,2012,8,7,2012,8,8,20,21,11,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST
KHEZARA,KHEZARAS,KEF MAKHDOUM,365.2,4021.7,2012-08-07 00:00:00,1899-12-31 13:38:00,2012-08-07 00:00:00,1899-12-31 13:48:00,2012-08-07 00:00:00,1899-12-31 15:20:00,PA+EUC,0.5,0,0,0.5,INC,PV,SF+PC,200000,2012,8,7,2012,8,7,2012,8,7,13,13,15,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,368.4,908.3,2012-08-08 00:00:00,1899-12-31 15:25:00,2012-08-08 00:00:00,1899-12-31 15:50:00,2012-08-08 00:00:00,1899-12-31 23:00:00,CL,10,0,0,10,INC,PV,SF+EMPS,4000000,2012,8,8,2012,8,8,2012,8,8,15,15,23,44.4,15.5,S+SE,Hammam Meskhoutine N° 53
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,368.6,909.5,2012-08-09 00:00:00,1899-12-31 12:55:00,2012-08-09 00:00:00,1899-12-31 13:20:00,2012-08-09 00:00:00,1899-12-31 17:30:00,CL+MAQ+BRS,0.5,0.5,0.5,1.5,INC,PV,SF+PC,215000,2012,8,9,2012,8,9,2012,8,9,12,13,17,41.1,8.4,S+SE,Hammam Meskhoutine N° 53
GUELAAT BOU SBAA,NECHMAYA,KEF LAHCANE,361.6,4051.5,2012-08-10 00:00:00,1899-12-31 13:00:00,2012-08-10 00:00:00,1899-12-31 14:30:00,2012-08-10 00:00:00,1899-12-31 18:15:00,CL+MAQ,0.5,3,0,3.5,INC,PV,SF+EMPS,260000,2012,8,10,2012,8,10,2012,8,10,13,14,18,40,13.8,S+SE,Azzaba NJ-32-II-3 EST
HAMMAM N'BAIL,OUED CHEHAM,AIN KEBIRA,391,4027,2012-08-10 00:00:00,1899-12-31 14:15:00,2012-08-10 00:00:00,1899-12-31 14:30:00,2012-08-10 00:00:00,1899-12-31 14:55:00,MAQ,0,5,0,5,INC,DW,SF+PC,100000,2012,8,10,2012,8,10,2012,8,10,14,14,14,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM N'BAIL,OUED CHEHAM,MAIZILETTE,380,4047,2012-08-10 00:00:00,1899-12-31 14:55:00,2012-08-10 00:00:00,1899-12-31 15:20:00,2012-08-10 00:00:00,1899-12-31 17:00:00,BRS,0,0,1,1,INC,BM,SF+PC,10000,2012,8,10,2012,8,10,2012,8,10,14,15,17,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
GUELAAT BOU SBAA,NECHMAYA,MENCHAR,360,4052,2012-08-11 00:00:00,1899-12-31 10:40:00,2012-08-11 00:00:00,1899-12-31 11:00:00,2012-08-11 00:00:00,1899-12-31 22:30:00,CL+MAQ,15,10,0,25,INC,PV,SF+PC+EAPC,6200000,2012,8,11,2012,8,11,2012,8,11,10,11,22,36.5,15.5,S+SE,Azzaba NJ-32-II-3 EST
OUED ZENATI,BORDJ SABAT,HADJAR EL MENCHAR,322.45,4032.2,2012-08-12 00:00:00,1899-12-31 11:20:00,2012-08-12 00:00:00,1899-12-31 11:50:00,2012-08-12 00:00:00,1899-12-31 21:30:00,MAQ,0,8,0,8,INC,BM,SF+PC,160000,2012,8,12,2012,8,12,2012,8,12,11,11,21,43,4.1,S+SE,Guelma NJ-32-5 EST
BOUCHEGOUF,BOUCHEGOUF,BOUKERCHE,389,4038,2012-08-12 00:00:00,1899-12-31 12:15:00,2012-08-12 00:00:00,1899-12-31 12:25:00,2012-08-12 00:00:00,1899-12-31 17:50:00,MAQ,0,3,0,3,INC,PV,SF+PC,60000,2012,8,12,2012,8,12,2012,8,12,12,12,17,43,4.1,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM DEBAGH,ROKNIA,KEF RAYEB,374.3,904.8,2012-08-12 00:00:00,1899-12-31 10:00:00,2012-08-12 00:00:00,1899-12-31 10:40:00,2012-08-12 00:00:00,1899-12-31 17:00:00,MAQ,0,0,0.5,0.5,INC,PV,SF+EMPS,5000,2012,8,12,2012,8,12,2012,8,12,10,10,17,43,4.1,S+SE,Hammam Meskhoutine N° 53
HAMMAM DEBAGH,BOUHAMDANE,KER SERAK,325.3,4038,2012-08-13 00:00:00,1899-12-31 14:51:00,2012-08-13 00:00:00,1899-12-31 15:30:00,2012-08-14 00:00:00,1899-12-31 21:45:00,MAQ,0,28,0,28,INC,BM,SF+PC,560000,2012,8,13,2012,8,13,2012,8,14,14,15,21,41,13.8,S+SE,Guelma NJ-32-5 EST
GUELAAT BOU SBAA,NECHMAYA,CHAABET RAMOUL,360.6,4052.7,2012-08-15 00:00:00,1899-12-31 15:15:00,2012-08-15 00:00:00,1899-12-31 15:40:00,2012-08-15 00:00:00,1899-12-31 19:10:00,BRS,0,0,1,1,INC,PV,SF+PC,10000,2012,8,15,2012,8,15,2012,8,15,15,15,19,41.6,9.8,S+SE,Azzaba NJ-32-II-3 EST
OUED ZENATI,BORDJ SABAT,HADJAR EL TELDJ,331.8,4030.2,2012-08-16 00:00:00,1899-12-31 04:53:00,2012-08-16 00:00:00,1899-12-31 06:05:00,2012-08-16 00:00:00,1899-12-31 10:30:00,PA,4,0,0,4,INC,BM,SF+PC,1600000,2012,8,16,2012,8,16,2012,8,16,4,6,10,42.1,8.4,S+SE,Guelma NJ-32-5 EST
OUED ZENATI,BORDJ SABAT,HADJAR EL MENCHAR,320.4,4031.4,2012-08-16 00:00:00,1899-12-31 11:00:00,2012-08-16 00:00:00,1899-12-31 11:40:00,2012-08-16 00:00:00,1899-12-31 22:50:00,MAQ,0,17,0,17,INC,BM,SF+PC,340000,2012,8,16,2012,8,16,2012,8,16,11,11,22,42.1,8.4,S+SE,Constantine NJ-32-16 EST
HAMMAM DEBAGH,ROKNIA,DJ BOUASLOUDJ,371.4,911.2,2012-08-18 00:00:00,1899-12-31 11:15:00,2012-08-18 00:00:00,1899-12-31 11:55:00,2012-08-18 00:00:00,1899-12-31 18:45:00,CL,7,0,0,7,INC,PV,SF+PC,2800000,2012,8,18,2012,8,18,2012,8,18,11,11,18,37.6,11.2,S+SE,Hammam Meskhoutine N° 53
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,368.7,910.2,2012-08-19 00:00:00,1899-12-31 11:30:00,2012-08-19 00:00:00,1899-12-31 12:10:00,2012-08-19 00:00:00,1899-12-31 17:20:00,MAQ,0,10,0,10,INC,PV,SF+PC,200000,2012,8,19,2012,8,19,2012,8,19,11,12,17,38.4,15.5,S+SE,Hammam Meskhoutine N° 53
GUELAAT BOU SBAA,NECHMAYA,TEBAIB EL SOUF,363,4052.5,2012-08-19 00:00:00,1899-12-31 13:10:00,2012-08-19 00:00:00,1899-12-31 13:30:00,2012-08-19 00:00:00,1899-12-31 18:30:00,CL+MAQ,4.5,0,1.5,6,INC,PV,SF+PC,1815000,2012,8,19,2012,8,19,2012,8,19,13,13,18,38.4,15.5,S+SE,Azzaba NJ-32-II-3 EST
HAMMAM DEBAGH,ROKNIA,DJ EL GUERAR,369.5,897.6,2012-08-19 00:00:00,1899-12-31 12:10:00,2012-08-19 00:00:00,1899-12-31 12:55:00,2012-08-19 00:00:00,1899-12-31 17:20:00,MAQ,0,10,0,10,INC,PV,SF+PC,200000,2012,8,19,2012,8,19,2012,8,19,12,12,17,38.4,15.5,S+SE,Hammam Meskhoutine N° 53
BOUCHEGOUF,BOUCHEGOUF,BENI SALAH,403,4038,2012-08-19 00:00:00,1899-12-31 17:30:00,2012-08-19 00:00:00,1899-12-31 18:00:00,2012-08-23 00:00:00,1899-12-31 14:00:00,CL+CZ+EUC+MAQ,190,50,0,240,INC,BM,SF+PC,77000000,2012,8,19,2012,8,19,2012,8,23,17,18,14,38.4,15.5,S+SE,Deraane NJ-32-II-4 OUEST
GUELAAT BOU SBAA,NECHMAYA,CHAABET RAMOUL,360,4053,2012-08-21 00:00:00,1899-12-31 10:40:00,2012-08-21 00:00:00,1899-12-31 11:00:00,2012-08-21 00:00:00,1899-12-31 17:30:00,BRS,0,0,4,4,INC,PV,SF+PC,40000,2012,8,21,2012,8,21,2012,8,21,10,11,17,38.2,13.8,S+SE,Azzaba NJ-32-II-3 EST
HAMMAM DEBAGH,ROKNIA,EL MINA,368.5,909.2,2012-08-21 00:00:00,1899-12-31 18:00:00,2012-08-21 00:00:00,1899-12-31 18:30:00,2012-08-22 00:00:00,1899-12-31 12:15:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,21,2012,8,21,2012,8,22,18,18,12,38.2,13.8,S+SE,Hammam Meskhoutine N° 53
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,360,4051.3,2012-08-22 00:00:00,1899-12-31 13:30:00,2012-08-22 00:00:00,1899-12-31 13:50:00,2012-08-22 00:00:00,1899-12-31 17:50:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,22,2012,8,22,2012,8,22,13,13,17,39.2,11.2,S+SE,Azzaba NJ-32-II-3 EST
HAMMAM DEBAGH,BOUHAMDANE,TAYA BENI AHMED,311.5,4039.8,2012-08-23 00:00:00,1899-12-31 11:40:00,2012-08-23 00:00:00,1899-12-31 11:55:00,2012-08-24 00:00:00,1899-12-31 23:00:00,PA,4,0,0,4,INC,BM,SF+PC,1600000,2012,8,23,2012,8,23,2012,8,24,11,11,23,40.2,11.2,S+SE,Guelma NJ-32-5 EST
GUELAAT BOU SBAA,NECHMAYA,BOUGHABROUBA,361,4056,2012-08-23 00:00:00,1899-12-31 12:35:00,2012-08-23 00:00:00,1899-12-31 12:55:00,2012-08-23 00:00:00,1899-12-31 17:30:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,23,2012,8,23,2012,8,23,12,12,17,40.2,11.2,S+SE,Azzaba NJ-32-II-3 EST
GUELAAT BOU SBAA,BENI MEZLINE,ZÉZOUA,380,4040.4,2012-08-23 00:00:00,1899-12-31 11:20:00,2012-08-23 00:00:00,1899-12-31 11:55:00,2012-08-23 00:00:00,1899-12-31 15:30:00,MAQ,0,1,0,1,INC,BM,SF+PC,20000,2012,8,23,2012,8,23,2012,8,23,11,11,15,40.2,11.2,S+SE,Deraane NJ-32-II-4 OUEST
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,401,4037,2012-08-24 00:00:00,1899-12-31 09:45:00,2012-08-24 00:00:00,1899-12-31 10:00:00,2012-08-24 00:00:00,1899-12-31 20:00:00,MAQ,0,5,0,5,INC,PV,SF+PC,100000,2012,8,24,2012,8,24,2012,8,24,9,10,20,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,374,4018,2012-08-24 00:00:00,1899-12-31 10:00:00,2012-08-24 00:00:00,1899-12-31 10:15:00,2012-08-24 00:00:00,1899-12-31 20:00:00,BRS,0,0,4,4,INC,DW,SF+PC,40000,2012,8,24,2012,8,24,2012,8,24,10,10,20,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM N'BAIL,OUED CHEHAM,FROUJA,387,4029,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:15:00,2012-08-24 00:00:00,1899-12-31 19:00:00,MAQ,0,1.5,0,1.5,INC,BM,SF+PC,30000,2012,8,24,2012,8,24,2012,8,24,12,12,19,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
KHEZARA,AIN SANDEL,DJ GHACHIOUA,373,4013,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:15:00,2012-08-24 00:00:00,1899-12-31 17:00:00,MAQ,0,3,0,3,CON,DW,SF+PC+DW,60000,2012,8,24,2012,8,24,2012,8,24,12,12,17,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,332.8,4032.4,2012-08-24 00:00:00,1899-12-31 12:30:00,2012-08-24 00:00:00,1899-12-31 12:35:00,2012-08-24 00:00:00,1899-12-31 18:40:00,EUC,50,0,0,50,INC,BM,SF+POP,20000000,2012,8,24,2012,8,24,2012,8,24,12,12,18,40.5,13.8,S+SE,Guelma NJ-32-5 EST
GUELAAT BOU SBAA,NECHMAYA,JENB EL BAGRA,364,4055,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:30:00,2012-08-24 00:00:00,1899-12-31 15:45:00,BRS,0,0,1,1,INC,PV,SF+EMPS,10000,2012,8,24,2012,8,24,2012,8,24,12,12,15,40.5,13.8,S+SE,Azzaba NJ-32-II-3 EST
BOUCHEGOUF,MEDJEZ SFA,OUM E'SERMEL,401,4036,2012-08-24 00:00:00,1899-12-31 13:02:00,2012-08-24 00:00:00,1899-12-31 13:20:00,2012-08-25 00:00:00,1899-12-31 13:00:00,CL,5,0,0,5,INC,BM,SF+PC,2000000,2012,8,24,2012,8,24,2012,8,25,13,13,13,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
HAMMAM DEBAGH,BOUHAMDANE,KER SERAK,324.8,4038.4,2012-08-24 00:00:00,1899-12-31 11:45:00,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 18:30:00,CL+MAQ,30,50,0,80,INC,BM,SF+PC,13000000,2012,8,24,2012,8,24,2012,8,24,11,12,18,40.5,13.8,S+SE,Guelma NJ-32-5 EST
HAMMAM N'BAIL,HAMMAM N'BAILS,EL BATTOUM,382,4016,2012-08-25 00:00:00,1899-12-31 12:02:00,2012-08-25 00:00:00,1899-12-31 12:20:00,2012-08-25 00:00:00,1899-12-31 18:00:00,BRS,0,0,2,2,INC,PV,SF+PC,20000,2012,8,25,2012,8,25,2012,8,25,12,12,18,40.6,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST
